Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-08-25 14:47:56,false,"Wandsworth Running","5.00","336","00:30:21","160","181","3.5","163","171","6:04","5:22","37","35","1.01","0.0","No","00:30:21","1","00:30:03","00:32:06","18","35"
Running,2024-08-25 14:15:49,false,"Wandsworth Running","2.85","184","00:15:51","157","181","3.1","162","170","5:34","1:09","4","13","1.11","0.0","No","00:15:51","1","00:15:45","00:16:32","24","39"
Running,2024-08-24 12:20:48,false,"Wandsworth Running","5.01","345","00:29:14","174","189","3.7","163","172","5:50","4:56","16","18","1.05","0.0","No","00:29:14","1","00:29:07","00:29:41","28","44"
Running,2024-08-19 19:06:40,false,"Wandsworth Running","4.66","228","00:21:34","144","192","3.1","167","195","4:38","3:21","3","3","1.29","0.0","No","00:21:34","1","00:21:23","00:44:33","29","33"
Running,2024-08-19 18:43:54,false,"Wandsworth Running","1.01","65","00:05:50.8","155","168","2.0","161","166","5:48","5:28","4","6","1.07","0.0","No","00:05:50.8","1","00:05:50.8","00:05:50.8","29","38"
Running,2024-08-18 11:03:35,false,"Wandsworth Running","17.00","1,135","01:48:44","155","177","4.7","163","174","6:24","5:12","157","78","0.96","0.0","No","01:48:44","1","01:47:54","01:58:25","-44","42"
Running,2024-08-15 19:14:08,false,"City of Westminster Running","14.01","940","01:32:19","148","166","4.1","161","177","6:35","5:04","106","106","0.94","0.0","No","00:18:56","2","01:32:04","01:40:46","4","36"
Running,2024-08-13 12:52:46,false,"Wandsworth Running","8.00","540","00:48:09","162","187","4.0","162","171","6:01","4:38","35","34","1.03","0.0","No","00:48:09","1","00:47:57","00:52:36","19","38"
Running,2024-08-12 19:18:01,false,"Wandsworth Running","4.21","242","00:20:12","165","190","3.5","167","182","4:48","4:04","4","4","1.25","0.0","No","00:20:12","1","00:19:53","00:31:46","29","33"
Running,2024-08-12 19:11:55,false,"Wandsworth Running","0.39","21","00:02:22.7","118","136","0.6","156","167","6:10","5:29","--","--","1.04","0.0","No","00:02:22.7","1","00:02:17","00:02:22.7","29","33"
Running,2024-08-11 10:14:01,false,"Wandsworth Running","15.60","1,034","01:40:09","156","182","4.3","163","184","6:25","4:30","130","117","0.96","0.0","No","01:40:09","1","01:39:09","02:31:09","6","58"
Running,2024-08-09 13:30:09,false,"Wandsworth Running","5.01","330","00:28:34","165","182","3.6","163","171","5:42","4:44","19","22","1.08","0.0","No","00:28:34","1","00:28:32","00:28:44","28","44"
Running,2024-08-08 13:17:47,false,"Wandsworth - Base","7.68","527","00:46:06","164","180","4.1","161","171","6:00","4:40","22","39","1.03","0.0","No","00:00:05.6","2","00:45:44","00:47:46","15","44"
Running,2024-08-07 19:15:38,false,"Wandsworth Running","5.05","334","00:27:56","172","187","3.8","162","170","5:32","4:51","17","25","1.11","0.0","No","00:27:56","1","00:27:50","00:28:42","19","34"
Running,2024-08-05 19:18:04,false,"Wandsworth Running","4.06","251","00:20:01","173","196","3.7","169","176","4:56","4:29","21","24","1.20","0.0","No","00:20:01","1","00:19:49","00:20:01","25","44"
Running,2024-08-04 12:27:49,false,"Wandsworth - Base","5.00","329","00:31:49","148","169","3.1","162","169","6:22","4:56","16","26","0.97","0.0","No","00:31:49","1","00:31:38","00:35:47","23","39"
Running,2024-08-03 13:13:48,false,"Wandsworth Running","8.56","569","00:54:39","152","175","3.7","159","222","6:23","5:07","30","45","0.98","0.0","No","00:54:39","1","00:53:52","01:18:48","17","39"
Running,2024-07-31 08:04:24,false,"Wandsworth - Base","7.40","492","00:46:18","153","170","3.5","162","173","6:16","5:07","27","41","0.99","0.0","No","00:00:18.1","2","00:45:51","00:48:46","20","45"
Running,2024-07-29 19:14:56,false,"Wandsworth Running","3.65","200","00:17:55","133","156","3.0","163","179","4:55","4:05","6","6","1.24","0.0","No","00:17:55","1","00:17:09","00:36:03","29","33"
Running,2024-07-29 18:49:58,false,"Wandsworth Running","0.86","53","00:04:36.0","122","140","2.0","160","169","5:21","4:56","--","5","1.17","0.0","No","00:04:36.0","1","00:04:29","00:04:36.0","29","39"
